#Takeoff_Speed(km/h),Weight(ton)
319,298
316,298
317,293
314,295
318,286
309,300
318,283
311,295
310,295
312,289
315,282
314,280
305,295
309,287
304,292
314,273
304,290
317,266
299,298
316,264
298,294
308,274
307,273
313,262
317,255
317,255
299,283
318,250
310,260
310,255
308,257
303,265
294,281
318,240
308,254
299,269
309,249
304,257
317,235
300,260
290,278
312,240
295,267
294,268
300,257
296,263
290,274
319,226
312,236
296,259
293,264
301,250
313,230
291,265
299,248
297,250
310,229
300,242
318,214
297,243
304,228
298,237
303,228
314,211
313,212
311,214
300,229
302,224
292,236
308,212
299,223
299,221
293,229
293,227
301,215
297,220
294,224
295,220
295,216
295,215
