#Takeoff_Speed(km/h),Weight(ton),Distance(m)
310,261,1814
312,221,1632
314,261,1981
319,274,2163
319,221,1733
310,228,1567
295,290,1858
295,281,1789
320,283,2192
297,274,1712
307,271,1875
317,244,1846
290,210,1273
311,247,1876
295,230,1521
301,227,1459
303,282,1850
292,211,1357
303,222,1429
295,251,1556
311,248,1782
313,275,2102
303,269,1830
319,285,2080
304,213,1410
297,257,1606
291,210,1258
305,244,1613
301,299,2103
300,285,1838
291,241,1618
296,235,1522
308,241,1696
302,278,1888
304,262,1739
309,222,1559
301,268,1845
302,292,2030
298,212,1480
317,262,2046
293,270,1692
306,259,1790
312,266,1920
298,235,1553
292,286,1808
292,228,1400
294,242,1586
306,261,1786
296,260,1646
290,277,1805
305,237,1653
306,223,1562
307,234,1582
319,266,2076
318,241,1846
291,261,1730
311,279,2073
309,269,1948
302,270,1812
320,258,2032
291,223,1388
318,284,2045
315,212,1532
306,299,2007
303,212,1433
312,229,1589
315,254,1911
301,272,1934
307,224,1631
300,244,1658
298,259,1670
318,211,1565
292,276,1750
298,266,1783
310,223,1593
291,276,1786
291,241,1554
308,273,1954
315,235,1797
309,233,1701
294,289,1855
314,232,1646
299,271,1704
304,215,1574
313,224,1613
312,234,1608
309,253,1888
305,280,1965
297,238,1582
298,262,1778
313,300,2186
311,269,1907
299,287,2000
304,220,1494
320,219,1711
290,228,1377
312,236,1627
290,225,1363
309,291,2144
296,248,1638
292,249,1567
295,258,1765
299,215,1495
318,268,2100
290,263,1705
291,235,1559
294,298,1868
299,289,2007
314,229,1611
311,242,1739
306,251,1699
291,297,1919
299,264,1693
305,295,2101
315,221,1660
291,227,1496
295,211,1330
310,245,1677
301,248,1575
304,253,1734
318,259,2007
320,260,1917
314,284,2123
298,297,2035
308,265,1962
312,278,2031
314,253,1762
313,234,1696
299,269,1889
290,292,1752
299,271,1893
315,272,1997
295,255,1650
303,264,1846
320,286,2238
301,294,2083
305,265,1758
311,247,1856
318,270,2063
312,218,1590
292,290,1853
296,241,1542
307,249,1719
304,294,2038
290,298,1892
300,239,1549
319,269,2107
320,295,2153
307,298,2105
299,225,1521
301,223,1534
299,231,1528
316,213,1634
315,227,1577
296,229,1448
317,238,1710
301,233,1545
304,282,1925
302,295,2086
309,300,2230
307,241,1703
292,299,1904
308,286,1959
293,231,1511
298,275,1885
316,262,1851
314,243,1696
318,283,2092
291,294,1793
310,291,2168
304,278,1961
291,271,1696
310,261,1953
319,223,1634
316,220,1673
308,257,1757
312,214,1595
306,255,1754
313,285,2013
310,282,2049
306,231,1688
311,228,1613
296,254,1568
293,245,1611
320,212,1545
306,218,1533
315,215,1610
309,214,1481
292,216,1352
294,297,1937
315,271,1982
305,257,1727
302,233,1596
308,259,1771
291,222,1347
310,276,1975
310,248,1701
313,230,1711
304,232,1646
304,223,1443
315,245,1796
312,230,1567
318,240,1801
296,262,1687
291,212,1280
290,279,1801
307,266,1957
297,261,1669
306,286,2017
309,225,1518
312,286,2129
308,237,1669
299,229,1580
304,219,1572
305,278,1835
311,222,1530
303,280,1967
320,237,1752
304,291,2093
300,297,1902
316,228,1763
297,212,1334
296,259,1719
305,213,1474
318,243,1876
302,270,1920
313,266,2024
301,230,1499
301,219,1561
300,244,1569
304,248,1710
296,260,1780
307,265,1893
295,227,1384
315,236,1691
300,227,1523
293,286,1859
297,254,1610
297,289,1883
297,261,1748
309,224,1494
294,242,1530
310,265,1806
306,282,1928
297,213,1426
315,242,1807
307,283,1941
292,288,1792
318,295,2147
294,210,1368
320,217,1588
320,233,1733
317,268,1910
307,240,1642
308,227,1582
291,270,1752
310,273,1903
309,228,1628
297,243,1555
299,246,1614
310,228,1561
309,297,2012
316,237,1840
292,216,1335
314,269,2065
320,219,1651
297,227,1409
303,270,1816
312,217,1650
314,258,1973
301,292,2012
303,259,1670
296,265,1715
291,269,1597
291,250,1494
306,243,1760
306,250,1788
319,283,2125
309,255,1885
317,275,2107
291,299,1785
317,234,1850
311,214,1539
320,264,1966
295,237,1619
309,262,1877
291,291,1806
298,287,1918
318,240,1721
300,283,1992
295,230,1556
313,249,1843
319,232,1774
304,271,1868
306,277,1917
310,238,1658
314,262,1958
314,213,1597
316,256,1892
319,283,2209
